City,Year,Month,Bus,MRT,HSR
,2012,1,45982547,1513243,1089500
Taipei,2012,2,48465481,1662837,977745
Taipei,2012,3,54584921,1669721,1036041
Taipei,2012,4,51120471,1609292,1022830
Taipei,2012,5,54127417,1617133,1024218
Taipei,2012,6,49982169,1588700,993796
Taipei,2012,7,50225487,1627631,1107427
Taipei,2012,8,50094922,1601655,1057507
Taipei,2012,9,51494059,1626521,1043177
Taipei,2012,10,53808610,1716723,1104154
Taipei,2012,11,51871080,1721808,1077098
Taipei,2012,12,53068679,1788973,1143658
Taipei,2013,1,51387629,1701595,1056132
Taipei,2013,2,42128156,1635239,1075441
Taipei,2013,3,53738781,1753202,1190556
Taipei,2013,4,50178866,1675666,1095468
Taipei,2013,5,53242917,1711563,1099319
Taipei,2013,6,48889372,1682217,1100044
Taipei,2013,7,47246380,1708057,1136202
Taipei,2013,8,45922756,1709166,1167534
Taipei,2013,9,47002503,1682400,1112147
Taipei,2013,10,50826119,1762973,1094428
Taipei,2013,11,49209415,1848253,1094721
Taipei,2013,12,49981988,1992743,1163016
Taipei,2014,1,44772891,1801374,1005858
Taipei,2014,2,39589724,1864298,1131693
Taipei,2014,3,46483711,1922074,1163177
Taipei,2014,4,44404253,1845525,1114250
Taipei,2014,5,46736118,1828124,1110420
Taipei,2014,6,43287629,1764291,1126663
Taipei,2014,7,41512766,1793885,1147243
Taipei,2014,8,41901343,1822855,1184486
Taipei,2014,9,42097897,1786273,1119165
Taipei,2014,10,44621056,1868494,1174097
Taipei,2014,11,41616359,1941074,1138345
Taipei,2014,12,43429991,2098393,1173828
Taipei,2015,1,40430157,1925543,1124180
Taipei,2015,2,33470271,1876165,1152420
Taipei,2015,3,42525254,2027365,1200306
Taipei,2015,4,39751186,1944422,1175630
Taipei,2015,5,41497276,1960053,1183797
Taipei,2015,6,39223832,1918947,1148764
Taipei,2015,7,39110027,1935314,1182381
Taipei,2015,8,38147315,1899873,1194134
Taipei,2015,9,39131525,1904606,1136690
Taipei,2015,10,42144882,2009554,1196149
Taipei,2015,11,40766224,2030302,1190360
Taipei,2015,12,42845430,2146519,1358096
Taipei,2016,1,39955125,2015843,1283222
Taipei,2016,2,33997969,1926929,1298546
Taipei,2016,3,42248914,2099816,1283401
Taipei,2016,4,39002358,1993945,1272263
Taipei,2016,5,41337944,2020689,1288292
Taipei,2016,6,38382753,1964780,1252594
Taipei,2016,7,37884726,1961747,1209255
Taipei,2016,8,40175501,2035594,1222014
Taipei,2016,9,37016922,1874315,1102605
Taipei,2016,10,40903744,2025883,1239238
Taipei,2016,11,44014813,2093201,1187261
Taipei,2016,12,45784505,2237913,1310719
Taipei,2017,1,40665386,1936615,1231526
Taipei,2017,2,38149471,2046706,1189289
Taipei,2017,3,45540274,2122548,1211425
Taipei,2017,4,39050551,2034486,1252548
Taipei,2017,5,40705098,2010690,1259265
Taipei,2017,6,39456542,2020000,1123876
Taipei,2017,7,38244784,1962774,1222700
Taipei,2017,8,39609538,2043185,1285504
Taipei,2017,9,39558701,2008376,1133599
Taipei,2017,10,39606577,1993600,1296262
Taipei,2017,11,40226482,2101132,1236928
Taipei,2017,12,41466091,2247974,1369436
Taipei,2018,1,39971418,2080677,1217563
Taipei,2018,2,35148032,1953907,1215182
Taipei,2018,3,41982656,2172866,1287580
Taipei,2018,4,37709775,2022173,1303585
Taipei,2018,5,41838726,2096107,1260817
Taipei,2018,6,39054437,2050134,1234155
Taipei,2018,7,39227991,2030893,1276207
Taipei,2018,8,40211363,2086577,1299588
Taipei,2018,9,38919817,2028963,1245658
Taipei,2018,10,42597732,2163608,1279380
Taipei,2018,11,41420125,2186898,1310636
Taipei,2018,12,41739091,2276230,1386565
Taipei,2019,1,41225383,2193651,1286996
Taipei,2019,2,33036902,2000494,1247617
Taipei,2019,3,41112019,2170290,1361206
Taipei,2019,4,39604001,2122470,1334420
Taipei,2019,5,42704696,2176479,1306221
Taipei,2019,6,38745385,2096660,1321306
Taipei,2019,7,40623825,2147025,1336586
Taipei,2019,8,39302782,2098947,1319162
Taipei,2019,9,38610917,2063910,1284942
Taipei,2019,10,42208690,2215638,1369295
Taipei,2019,11,41180397,2279492,1342850
Taipei,2019,12,42559075,2375690,1451090
Taipei,2020,1,35986146,2011027,1407544
Taipei,2020,2,31116718,1831801,907417
Taipei,2020,3,34147932,1720005,818655
Taipei,2020,4,29843959,1511602,664012
Taipei,2020,5,34536544,1715274,845031
Taipei,2020,6,34889733,1837808,1031534
Taipei,2020,7,36662844,1950284,1170955
Taipei,2020,8,35945551,1933342,1294998
Taipei,2020,9,37801607,2023752,1165365
Taipei,2020,10,37507223,1983020,1338203
Taipei,2020,11,37854073,2079812,1291441
Taipei,2020,12,40042914,2201220,1344224
Taipei,2021,1,36104726,1923480,1094680
Taipei,2021,2,29521246,1782284,1015490
Taipei,2021,3,38371671,2053617,1218260
Taipei,2021,4,35776933,2007613,1262972
Taipei,2021,5,21509196,1090121,592123
Taipei,2021,6,8494768,437331,109772
Taipei,2021,7,11869141,623430,231873
Taipei,2021,8,19266425,1029340,490060
Taipei,2021,9,23693235,1247257,656414
Taipei,2021,10,29150151,1561014,898517
Taipei,2021,11,31966962,1789824,1035978
Taipei,2021,12,33834413,1936923,1247960
Taipei,2022,1,30030661,1607737,886369
Taipei,2022,2,24467341,1496692,934101
Taipei,2022,3,34016127,1855065,1104613
Taipei,2022,4,26241139,1438867,870767
Taipei,2022,5,20604257,1078778,568725
Taipei,2022,6,23677935,1314447,695158
Taipei,2022,7,27106930,1528322,995101
Taipei,2022,8,29234912,1630915,1131697
Taipei,2022,9,29462934,1667755,1095097
Taipei,2022,10,30787742,1724253,1198862
Taipei,2022,11,32634573,1907168,1229546
Taipei,2022,12,34168086,2042780,1394749
Taoyuan,2012,1,2144894,,323199
Taoyuan,2012,2,2191714,,283266
Taoyuan,2012,3,2575590,,295061
Taoyuan,2012,4,2492025,,305525
Taoyuan,2012,5,2605641,,304778
Taoyuan,2012,6,2355076,,303250
Taoyuan,2012,7,2266101,,341225
Taoyuan,2012,8,2247525,,327185
Taoyuan,2012,9,2518818,,312808
Taoyuan,2012,10,2748472,,340238
Taoyuan,2012,11,2660047,,322754
Taoyuan,2012,12,2727594,,337315
Taoyuan,2013,1,2631000,,322690
Taoyuan,2013,2,2093458,,359019
Taoyuan,2013,3,2769589,,387540
Taoyuan,2013,4,2622032,,348307
Taoyuan,2013,5,2795800,,345241
Taoyuan,2013,6,2589950,,353280
Taoyuan,2013,7,2391595,,370892
Taoyuan,2013,8,2361146,,366606
Taoyuan,2013,9,2622466,,352133
Taoyuan,2013,10,2804608,,351313
Taoyuan,2013,11,2715312,,346484
Taoyuan,2013,12,2804412,,346462
Taoyuan,2014,1,2504908,,330500
Taoyuan,2014,2,2290546,,346552
Taoyuan,2014,3,2786913,,349494
Taoyuan,2014,4,2733334,,357621
Taoyuan,2014,5,2782045,,361218
